"","player_name","new_club","price_pounds","new_league"
"1","Juan Cuadrado","Juventus","17330000","Serie A"
"2","Medhi Benatia","Juventus","14900000","Serie A"
"3","Bruno Gaspar","Fiorentina","3530000","Serie A"
"4","Etrit Berisha","Atalanta","4410000","Serie A"
"5","Andreas Cornelius","Atalanta","3100000","Serie A"
"6","Robin Gosens","Atalanta","660000","Serie A"
"7","Franck Kessié","Milan"," ","Serie A"
"8","Vitor Hugo","Fiorentina","7050000","Serie A"
"9","Nikola Milenkovic","Fiorentina","4500000","Serie A"
"10","Daniele Padelli","Inter"," ","Serie A"
"11","André Silva","Milan","33500000","Serie A"
"12","Mateo Musacchio","Milan","15000000","Serie A"
"13","Ricardo Rodriguez","Milan","13220000","Serie A"
"14","Héctor Moreno","Roma","5300000","Serie A"
"15","Valerio Verre","Sampdoria","3100000","Serie A"
"16","Jacopo Murano","SPAL"," ","Serie A"
"17","Vanja Milinkovic-Savic","Torino","2200000","Serie A"
"18","Lyanco","Torino","5300000","Serie A"
"19","Aly Malle","Udinese"," ","Serie A"
"20","Nicolas Haas","Atalanta"," ","Serie A"
"21","João Schmidt","Atalanta"," ","Serie A"
"22","Giancarlo González","Bologna","1750000","Serie A"
"23","Sebastien De Maio","Bologna","1750000","Serie A"
"24","Salvatore Sirigu","Torino"," ","Serie A"
"25","Rick Karsdorp","Roma","12300000","Serie A"
"26","Rodrigo Ely","Milan"," ","Serie A"
"27","Gravillon","Benevento","1300000","Serie A"
"28","Giuseppe Pezzella","Udinese","3950000","Serie A"
"29","Fabio Borini","Milan"," ","Serie A"
"30","Lorenzo Pellegrini","Roma","8768600","Serie A"
"31","Senna Miangue","Cagliari","3034838","Serie A"
"32","Adam Marusic","Lazio","5500000","Serie A"
"33","Nicola Murru","Sampdoria","5950000","Serie A"
"34","Luca Cigarini","Cagliari"," ","Serie A"
"35","Luca Garritano","Chievo","850000","Serie A"
"36","Alejandro Rodríguez","Chievo","425000","Serie A"
"37","Michele Rigione","Chievo","170000","Serie A"
"38","Fabio Eguelfi","Atalanta","1280000","Serie A"
"39","Luca Vido","Atalanta"," ","Serie A"
"40","José Luis Palomino","Atalanta","3400000","Serie A"
"41","Andrea Poli","Bologna"," ","Serie A"
"42","Massimo Coda","Benevento","1450000","Serie A"
"43","William Vainqueur","Roma"," ","Serie A"
"44","Anastasios Donis","Juventus"," ","Serie A"
"45","Ervin Zukanovic","Roma"," ","Serie A"
"46","Mauricio Pinilla","Genoa"," ","Serie A"
"47","Marko Rog","Napoli","11000000","Serie A"
"48","Nikola Maksimovic","Napoli","22822540","Serie A"
"49","Oscar Hiljemark","Genoa","2194475","Serie A"
"50","Maxime Gonalons","Roma","4389750","Serie A"
"51","Luca Rizzo","SPAL"," ","Serie A"
"52","Marios Oikonomou","SPAL"," ","Serie A"
"53","Federico Mattiello","SPAL"," ","Serie A"
"54","Felipe Dal Bello","SPAL","530000","Serie A"
"55","Hakan Calhanoglu","Milan","22000000","Serie A"
"56","Adam Ounas","Napoli","8800000","Serie A"
"57","Oliver Kragl","Crotone","350000","Serie A"
"58","Josip Ilicic","Atalanta","4824590","Serie A"
"59","Gianluca Gaudino","Chievo","44000","Serie A"
"60","Ante Budimir","Crotone"," ","Serie A"
"61","Ervin Zukanovic","Genoa"," ","Serie A"
"62","Daniele Verde","Verona"," ","Serie A"
"63","Marco Pompetti","Inter"," ","Serie A"
"64","Lorenzo Peschetola","Inter"," ","Serie A"
"65","Milan Skriniar","Inter","29100000","Serie A"
"66","Gianluca Caprari","Sampdoria","11500000","Serie A"
"67","Andrea Conti","Milan","21100000","Serie A"
"68","Timothy Castagne","Atalanta","3500000","Serie A"
"69","Vid Belec","Benevento","1550000","Serie A"
"70","Gaetano Letizia","Benevento","1550000","Serie A"
"71","George Puscas","Benevento"," ","Serie A"
"72","Marco Andreolli","Cagliari"," ","Serie A"
"73","Alberto Paloschi","SPAL"," ","Serie A"
